trl	ref_side	a_test	t_test	rep	rep_id	start_idx	matched_alpha_idx	matched_alpha
0	0	0.050000	4.000000	0	4	63	7	0.070000
1	1	0.400000	2.000000	3	4	19	43	0.430000
2	1	0.400000	4.000000	3	6	77	57	0.570000
3	1	0.200000	6.000000	2	8	10	46	0.460000
4	1	0.200000	4.000000	2	8	52	39	0.390000
5	0	0.050000	6.000000	0	6	4	6	0.060000
6	0	0.100000	6.000000	1	5	20	16	0.160000
7	1	0.400000	6.000000	3	8	76	52	0.520000
8	1	0.200000	2.000000	2	4	9	28	0.280000
9	1	0.400000	2.000000	3	2	51	39	0.390000
10	0	0.100000	4.000000	1	3	26	33	0.330000
11	1	0.400000	4.000000	3	7	24	53	0.530000
12	1	0.400000	6.000000	3	9	48	61	0.610000
13	1	0.400000	2.000000	3	5	60	48	0.480000
14	1	0.400000	2.000000	3	8	2	39	0.390000
15	0	0.100000	2.000000	1	8	13	15	0.150000
16	0	0.050000	4.000000	0	2	45	5	0.050000
17	1	0.400000	4.000000	3	4	24	52	0.520000
18	0	0.050000	4.000000	0	6	14	7	0.070000
19	0	0.100000	2.000000	1	5	18	13	0.130000
20	0	0.050000	2.000000	0	5	12	7	0.070000
21	1	0.200000	4.000000	2	2	21	48	0.480000
22	0	0.050000	4.000000	0	9	65	6	0.060000
23	1	0.400000	2.000000	3	3	22	49	0.490000
24	0	0.050000	6.000000	0	5	55	6	0.060000
25	0	0.100000	6.000000	1	3	5	11	0.110000
26	1	0.400000	4.000000	3	9	72	47	0.470000
27	1	0.400000	6.000000	3	3	51	54	0.540000
28	0	0.050000	6.000000	0	9	20	5	0.050000
29	1	0.200000	6.000000	2	1	54	49	0.490000
30	0	0.050000	2.000000	0	2	11	7	0.070000
31	1	0.200000	2.000000	2	5	47	54	0.540000
32	0	0.050000	6.000000	0	8	13	6	0.060000
33	0	0.100000	2.000000	1	4	57	19	0.190000
34	1	0.200000	6.000000	2	6	70	60	0.600000
35	1	0.200000	2.000000	2	0	13	33	0.330000
36	0	0.050000	4.000000	0	7	5	7	0.070000
37	1	0.200000	2.000000	2	3	38	28	0.280000
38	0	0.100000	6.000000	1	9	47	10	0.100000
39	1	0.200000	2.000000	2	1	37	30	0.300000
40	1	0.200000	4.000000	2	6	76	50	0.500000
41	1	0.200000	2.000000	2	2	80	31	0.310000
42	1	0.400000	2.000000	3	7	18	39	0.390000
43	0	0.050000	4.000000	0	1	18	7	0.070000
44	1	0.400000	6.000000	3	6	49	56	0.560000
45	0	0.050000	2.000000	0	9	49	10	0.100000
46	1	0.200000	4.000000	2	9	79	55	0.550000
47	1	0.400000	2.000000	3	6	52	53	0.530000
48	0	0.050000	6.000000	0	0	54	5	0.050000
49	0	0.100000	4.000000	1	8	9	26	0.260000
50	0	0.100000	4.000000	1	9	30	27	0.270000
51	1	0.200000	2.000000	2	7	47	28	0.280000
52	1	0.200000	6.000000	2	5	22	44	0.440000
53	1	0.400000	6.000000	3	4	38	64	0.640000
54	0	0.100000	4.000000	1	6	18	21	0.210000
55	0	0.100000	2.000000	1	1	25	21	0.210000
56	0	0.050000	4.000000	0	0	45	8	0.080000
57	1	0.400000	6.000000	3	2	23	69	0.690000
58	0	0.100000	4.000000	1	4	19	25	0.250000
59	1	0.200000	4.000000	2	7	38	52	0.520000
60	0	0.100000	6.000000	1	1	34	10	0.100000
61	1	0.400000	4.000000	3	0	79	57	0.570000
62	1	0.400000	2.000000	3	9	46	57	0.570000
63	1	0.400000	4.000000	3	3	20	59	0.590000
64	0	0.100000	2.000000	1	9	35	15	0.150000
65	0	0.100000	2.000000	1	2	66	20	0.200000
66	1	0.200000	6.000000	2	4	29	67	0.670000
67	1	0.200000	4.000000	2	1	11	59	0.590000
68	0	0.050000	2.000000	0	0	38	6	0.060000
69	1	0.200000	6.000000	2	9	63	61	0.610000
70	0	0.050000	2.000000	0	1	64	6	0.060000
71	0	0.050000	2.000000	0	7	18	6	0.060000
72	0	0.100000	2.000000	1	3	70	19	0.190000
73	1	0.200000	6.000000	2	2	36	56	0.560000
74	1	0.200000	6.000000	2	3	53	46	0.460000
75	1	0.400000	6.000000	3	0	25	62	0.620000
76	1	0.400000	6.000000	3	5	18	62	0.620000
77	0	0.050000	2.000000	0	3	19	7	0.070000
78	0	0.100000	6.000000	1	2	0	9	0.090000
79	1	0.400000	2.000000	3	1	57	40	0.400000
80	0	0.100000	2.000000	1	0	42	22	0.220000
81	1	0.200000	4.000000	2	3	8	41	0.410000
82	0	0.100000	2.000000	1	6	63	22	0.220000
83	0	0.100000	6.000000	1	4	74	11	0.110000
84	1	0.400000	6.000000	3	7	10	58	0.580000
85	0	0.100000	4.000000	1	2	56	20	0.200000
86	0	0.050000	2.000000	0	6	16	6	0.060000
87	0	0.050000	6.000000	0	4	80	7	0.070000
88	1	0.200000	2.000000	2	9	66	31	0.310000
89	1	0.200000	6.000000	2	7	69	50	0.500000
90	0	0.050000	6.000000	0	7	52	8	0.080000
91	0	0.100000	6.000000	1	7	15	9	0.090000
92	1	0.200000	4.000000	2	4	44	39	0.390000
93	0	0.100000	4.000000	1	0	19	38	0.380000
