N,Trial,Rep,Pos
0,0.0,2.0,0.0
1,8.0,4.0,1.0
2,6.0,5.0,1.0
3,7.0,5.0,1.0
4,8.0,8.0,1.0
5,8.0,9.0,1.0
6,6.0,2.0,1.0
7,10.0,6.0,1.0
8,2.0,0.0,0.0
9,4.0,6.0,0.0
10,1.0,1.0,0.0
11,6.0,8.0,1.0
12,5.0,6.0,0.0
13,11.0,1.0,1.0
14,9.0,9.0,1.0
15,4.0,3.0,0.0
16,3.0,5.0,0.0
17,1.0,0.0,0.0
18,6.0,3.0,1.0
19,7.0,3.0,1.0
20,0.0,4.0,0.0
21,10.0,5.0,1.0
22,3.0,8.0,0.0
23,7.0,9.0,1.0
24,2.0,7.0,0.0
25,3.0,6.0,0.0
26,5.0,8.0,0.0
27,3.0,0.0,0.0
28,6.0,6.0,1.0
29,1.0,9.0,0.0
30,9.0,5.0,1.0
31,6.0,1.0,1.0
32,5.0,7.0,0.0
33,1.0,3.0,0.0
34,10.0,3.0,1.0
35,10.0,9.0,1.0
36,1.0,2.0,0.0
37,1.0,8.0,0.0
38,4.0,5.0,0.0
39,5.0,9.0,0.0
40,5.0,0.0,0.0
41,0.0,0.0,0.0
42,2.0,6.0,0.0
43,11.0,6.0,1.0
44,8.0,5.0,1.0
45,2.0,5.0,0.0
46,10.0,8.0,1.0
47,8.0,0.0,1.0
48,1.0,4.0,0.0
49,7.0,4.0,1.0
50,0.0,5.0,0.0
51,5.0,3.0,0.0
52,2.0,9.0,0.0
53,7.0,0.0,1.0
54,9.0,4.0,1.0
55,6.0,9.0,1.0
56,10.0,1.0,1.0
57,9.0,7.0,1.0
58,5.0,5.0,0.0
59,5.0,4.0,0.0
60,7.0,2.0,1.0
61,2.0,2.0,0.0
62,7.0,1.0,1.0
63,11.0,2.0,1.0
64,3.0,2.0,0.0
65,10.0,7.0,1.0
66,2.0,4.0,0.0
67,11.0,7.0,1.0
68,8.0,1.0,1.0
69,7.0,7.0,1.0
70,1.0,6.0,0.0
71,5.0,2.0,0.0
72,4.0,4.0,0.0
73,10.0,4.0,1.0
74,6.0,0.0,1.0
75,11.0,4.0,1.0
76,0.0,9.0,0.0
77,9.0,8.0,1.0
78,11.0,3.0,1.0
79,2.0,1.0,0.0
80,4.0,7.0,0.0
81,8.0,3.0,1.0
82,10.0,0.0,1.0
83,3.0,9.0,0.0
84,9.0,1.0,1.0
85,3.0,7.0,0.0
86,9.0,0.0,1.0
87,4.0,8.0,0.0
88,10.0,2.0,1.0
89,5.0,1.0,0.0
90,4.0,2.0,0.0
91,0.0,6.0,0.0
92,3.0,4.0,0.0
93,3.0,1.0,0.0
94,11.0,0.0,1.0
95,4.0,1.0,0.0
96,8.0,7.0,1.0
97,8.0,2.0,1.0
98,0.0,1.0,0.0
99,9.0,2.0,1.0
100,6.0,4.0,1.0
101,9.0,6.0,1.0
102,1.0,7.0,0.0
103,0.0,7.0,0.0
104,7.0,6.0,1.0
105,6.0,7.0,1.0
106,4.0,0.0,0.0
107,2.0,3.0,0.0
108,2.0,8.0,0.0
109,0.0,8.0,0.0
110,1.0,5.0,0.0
111,0.0,3.0,0.0
112,4.0,9.0,0.0
113,8.0,6.0,1.0
114,9.0,3.0,1.0
115,7.0,8.0,1.0
116,11.0,9.0,1.0
117,11.0,5.0,1.0
118,3.0,3.0,0.0
119,11.0,8.0,1.0
