N,Trial,Rep,Pos
0,5.0,9.0,0.0
1,3.0,3.0,0.0
2,0.0,5.0,0.0
3,7.0,1.0,1.0
4,6.0,3.0,1.0
5,2.0,8.0,0.0
6,8.0,2.0,1.0
7,5.0,2.0,0.0
8,4.0,1.0,0.0
9,3.0,4.0,0.0
10,0.0,6.0,0.0
11,3.0,7.0,0.0
12,8.0,4.0,1.0
13,9.0,4.0,1.0
14,4.0,0.0,0.0
15,2.0,1.0,0.0
16,9.0,3.0,1.0
17,8.0,8.0,1.0
18,5.0,3.0,0.0
19,6.0,9.0,1.0
20,4.0,4.0,0.0
21,1.0,1.0,0.0
22,5.0,5.0,0.0
23,0.0,8.0,0.0
24,11.0,2.0,1.0
25,2.0,9.0,0.0
26,6.0,4.0,1.0
27,9.0,6.0,1.0
28,3.0,5.0,0.0
29,11.0,3.0,1.0
30,7.0,0.0,1.0
31,3.0,6.0,0.0
32,10.0,2.0,1.0
33,11.0,4.0,1.0
34,8.0,3.0,1.0
35,6.0,8.0,1.0
36,4.0,2.0,0.0
37,5.0,6.0,0.0
38,8.0,5.0,1.0
39,1.0,5.0,0.0
40,5.0,1.0,0.0
41,7.0,2.0,1.0
42,0.0,9.0,0.0
43,6.0,5.0,1.0
44,7.0,3.0,1.0
45,10.0,4.0,1.0
46,0.0,2.0,0.0
47,11.0,1.0,1.0
48,8.0,7.0,1.0
49,7.0,4.0,1.0
50,10.0,9.0,1.0
51,9.0,8.0,1.0
52,1.0,4.0,0.0
53,10.0,7.0,1.0
54,0.0,0.0,0.0
55,7.0,5.0,1.0
56,9.0,9.0,1.0
57,5.0,7.0,0.0
58,3.0,9.0,0.0
59,2.0,7.0,0.0
60,5.0,0.0,0.0
61,2.0,5.0,0.0
62,11.0,7.0,1.0
63,10.0,6.0,1.0
64,2.0,6.0,0.0
65,1.0,3.0,0.0
66,2.0,4.0,0.0
67,11.0,8.0,1.0
68,3.0,0.0,0.0
69,10.0,8.0,1.0
70,8.0,9.0,1.0
71,0.0,3.0,0.0
72,6.0,0.0,1.0
73,7.0,6.0,1.0
74,4.0,5.0,0.0
75,5.0,4.0,0.0
76,7.0,8.0,1.0
77,9.0,2.0,1.0
78,2.0,2.0,0.0
79,8.0,0.0,1.0
80,4.0,8.0,0.0
81,4.0,7.0,0.0
82,11.0,9.0,1.0
83,6.0,1.0,1.0
84,4.0,9.0,0.0
85,6.0,6.0,1.0
86,1.0,8.0,0.0
87,10.0,1.0,1.0
88,1.0,0.0,0.0
89,9.0,7.0,1.0
90,3.0,2.0,0.0
91,4.0,3.0,0.0
92,0.0,4.0,0.0
93,7.0,7.0,1.0
94,11.0,0.0,1.0
95,11.0,5.0,1.0
96,7.0,9.0,1.0
97,0.0,7.0,0.0
98,1.0,7.0,0.0
99,9.0,1.0,1.0
100,9.0,5.0,1.0
101,3.0,8.0,0.0
102,1.0,2.0,0.0
103,6.0,2.0,1.0
104,3.0,1.0,0.0
105,2.0,3.0,0.0
106,2.0,0.0,0.0
107,11.0,6.0,1.0
108,10.0,3.0,1.0
109,10.0,0.0,1.0
110,10.0,5.0,1.0
111,4.0,6.0,0.0
112,8.0,6.0,1.0
113,1.0,9.0,0.0
114,9.0,0.0,1.0
115,8.0,1.0,1.0
116,6.0,7.0,1.0
117,0.0,1.0,0.0
118,5.0,8.0,0.0
119,1.0,6.0,0.0
