IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000104e-03
2.442002442002442000e-04 5.490196078429999960e-02 1.390000000000000124e-01
4.884004884004884001e-04 6.666666666670000019e-02 2.416666666666666685e-01
7.326007326007326001e-04 7.843137254899999744e-02 3.926666666666666639e-01
9.768009768009768001e-04 8.627450980390000135e-02 5.263333333333334307e-01
1.221001221001221000e-03 9.019607843139999803e-02 5.996666666666666812e-01
1.465201465201465200e-03 9.803921568630000194e-02 7.773333333333334316e-01
1.709401709401709400e-03 1.019607843140000053e-01 8.786666666666667069e-01
1.953601953601953600e-03 1.058823529409999992e-01 9.919999999999999929e-01
2.197802197802197800e-03 1.098039215689999987e-01 1.111333333333333284e+00
2.442002442002442000e-03 1.137254901960000064e-01 1.229000000000000092e+00
2.686202686202686200e-03 1.176470588240000059e-01 1.375000000000000000e+00
2.930402930402930400e-03 1.215686274509999998e-01 1.532666666666666622e+00
3.418803418803418800e-03 1.254901960779999937e-01 1.669999999999999929e+00
3.663003663003663000e-03 1.294117647059999932e-01 1.839666666666666783e+00
3.907203907203907201e-03 1.333333333329999870e-01 2.015666666666666718e+00
4.395604395604395601e-03 1.372549019609999865e-01 2.203333333333333144e+00
4.884004884004884001e-03 1.411764705880000081e-01 2.416333333333333222e+00
5.372405372405372401e-03 1.450980392160000076e-01 2.608999999999999986e+00
5.616605616605616601e-03 1.490196078430000015e-01 2.842333333333333822e+00
6.105006105006105001e-03 1.529411764710000010e-01 3.069999999999999840e+00
6.593406593406593401e-03 1.568627450979999949e-01 3.292333333333333556e+00
7.081807081807081801e-03 1.607843137249999887e-01 3.561333333333333684e+00
7.570207570207570201e-03 1.647058823529999882e-01 3.829666666666666774e+00
8.302808302808302801e-03 1.686274509800000099e-01 4.084333333333333371e+00
8.791208791208791201e-03 1.725490196080000094e-01 4.378000000000000114e+00
9.523809523809524669e-03 1.764705882350000032e-01 4.692333333333333023e+00
1.001221001221001133e-02 1.803921568630000027e-01 4.988666666666667027e+00
1.074481074481074480e-02 1.843137254899999966e-01 5.306666666666666643e+00
1.147741147741147827e-02 1.882352941179999961e-01 5.658333333333334103e+00
1.221001221001221000e-02 1.921568627449999900e-01 5.985666666666666913e+00
1.294261294261294173e-02 1.960784313729999895e-01 6.336666666666666003e+00
1.367521367521367520e-02 2.000000000000000111e-01 6.744666666666667254e+00
1.440781440781440867e-02 2.039215686270000050e-01 7.092999999999999972e+00
1.514041514041514040e-02 2.078431372550000045e-01 7.516333333333332867e+00
1.611721611721611547e-02 2.117647058819999983e-01 7.925999999999999268e+00
1.684981684981684893e-02 2.156862745099999978e-01 8.320499999999999119e+00
1.782661782661782574e-02 2.196078431369999917e-01 8.785666666666665847e+00
1.880341880341880254e-02 2.235294117649999912e-01 9.236666666666666359e+00
1.978021978021977934e-02 2.274509803920000128e-01 9.698666666666666103e+00
2.075702075702075614e-02 2.313725490200000123e-01 1.013000000000000078e+01
2.173382173382173294e-02 2.352941176470000062e-01 1.066000000000000192e+01
2.271062271062270974e-02 2.392156862750000057e-01 1.116333333333333400e+01
2.393162393162392987e-02 2.431372549019999996e-01 1.162666666666666693e+01
2.490842490842491014e-02 2.470588235289999934e-01 1.219999999999999929e+01
2.612942612942613027e-02 2.509803921570000207e-01 1.277666666666666551e+01
2.735042735042735040e-02 2.549019607840000146e-01 1.327666666666666551e+01
2.832722832722832720e-02 2.588235294119999863e-01 1.388500000000000156e+01
2.954822954822954734e-02 2.627450980389999802e-01 1.448499999999999943e+01
3.101343101343101427e-02 2.666666666670000074e-01 1.507333333333333236e+01
3.223443223443223093e-02 2.705882352940000013e-01 1.567500000000000071e+01
3.345543345543345454e-02 2.745098039219999730e-01 1.629333333333333300e+01
3.467643467643467814e-02 2.784313725490000224e-01 1.696333333333333471e+01
3.614163614163613814e-02 2.823529411760000163e-01 1.759499999999999886e+01
3.760683760683760507e-02 2.862745098039999880e-01 1.828500000000000014e+01
3.907203907203907201e-02 2.901960784309999819e-01 1.894999999999999929e+01
4.053724053724053894e-02 2.941176470590000092e-01 1.969000000000000128e+01
4.200244200244200588e-02 2.980392156860000030e-01 2.040666666666666629e+01
4.346764346764346587e-02 3.019607843139999748e-01 2.114000000000000057e+01
4.517704517704517614e-02 3.058823529410000241e-01 2.187333333333333485e+01
4.664224664224664307e-02 3.098039215689999959e-01 2.264000000000000057e+01
4.835164835164835334e-02 3.137254901959999898e-01 2.341000000000000014e+01
4.981684981684982028e-02 3.176470588240000170e-01 2.416000000000000014e+01
5.152625152625152360e-02 3.215686274510000109e-01 2.500000000000000000e+01
5.323565323565323387e-02 3.254901960780000048e-01 2.585999999999999943e+01
5.518925518925518747e-02 3.294117647059999765e-01 2.669333333333333158e+01
5.689865689865689774e-02 3.333333333330000259e-01 2.753999999999999915e+01
5.860805860805860801e-02 3.372549019609999976e-01 2.838999999999999702e+01
6.056166056166056161e-02 3.411764705879999915e-01 2.933666666666666956e+01
6.251526251526251521e-02 3.450980392160000187e-01 3.025333333333333385e+01
6.446886446886446187e-02 3.490196078430000126e-01 3.115333333333333599e+01
6.642246642246642241e-02 3.529411764709999844e-01 3.209666666666667112e+01
6.837606837606838295e-02 3.568627450979999782e-01 3.308333333333333570e+01
7.057387057387057294e-02 3.607843137250000276e-01 3.403333333333333144e+01
7.252747252747253348e-02 3.647058823529999994e-01 3.503666666666666174e+01
7.472527472527472348e-02 3.686274509799999932e-01 3.604333333333332945e+01
7.667887667887668401e-02 3.725490196080000205e-01 3.700666666666666771e+01
7.887667887667887401e-02 3.764705882350000143e-01 3.806666666666666998e+01
8.107448107448107788e-02 3.803921568629999861e-01 3.914499999999999602e+01
8.327228327228326787e-02 3.843137254899999800e-01 4.024333333333333229e+01
8.571428571428571508e-02 3.882352941180000072e-01 4.128000000000000114e+01
8.791208791208790507e-02 3.921568627450000011e-01 4.245499999999999829e+01
9.035409035409035228e-02 3.960784313729999728e-01 4.349000000000000199e+01
9.255189255189255615e-02 4.000000000000000222e-01 4.471666666666666146e+01
9.523809523809523281e-02 4.039215686270000161e-01 4.586666666666667425e+01
9.768009768009768001e-02 4.078431372549999878e-01 4.703333333333333144e+01
1.001221001221001272e-01 4.117647058819999817e-01 4.823333333333332718e+01
1.028083028083028039e-01 4.156862745100000089e-01 4.943333333333333712e+01
1.052503052503052511e-01 4.196078431370000028e-01 5.071333333333333115e+01
1.079365079365079416e-01 4.235294117649999746e-01 5.197333333333333627e+01
1.106227106227106183e-01 4.274509803920000239e-01 5.315500000000000114e+01
1.130647130647130655e-01 4.313725490199999957e-01 5.454500000000000171e+01
1.162393162393162427e-01 4.352941176469999895e-01 5.574000000000000199e+01
1.186813186813186760e-01 4.392156862750000168e-01 5.713666666666666316e+01
1.216117216117216099e-01 4.431372549020000107e-01 5.850999999999999801e+01
1.245421245421245438e-01 4.470588235290000045e-01 5.977333333333333343e+01
1.272283272283272204e-01 4.509803921569999763e-01 6.121666666666666856e+01
1.304029304029304115e-01 4.549019607840000257e-01 6.260666666666666202e+01
1.333333333333333315e-01 4.588235294119999974e-01 6.405000000000001137e+01
1.362637362637362515e-01 4.627450980389999913e-01 6.536666666666667425e+01
1.391941391941391992e-01 4.666666666670000185e-01 6.696333333333332405e+01
1.426129426129426059e-01 4.705882352940000124e-01 6.843333333333332291e+01
1.457875457875457970e-01 4.745098039219999841e-01 6.987000000000000455e+01
1.487179487179487170e-01 4.784313725489999780e-01 7.136666666666667425e+01
1.518925518925518803e-01 4.823529411760000274e-01 7.295999999999999375e+01
1.553113553113553147e-01 4.862745098039999991e-01 7.448333333333333428e+01
1.584859584859584780e-01 4.901960784309999930e-01 7.601333333333333542e+01
1.619047619047619124e-01 4.941176470590000203e-01 7.768000000000000682e+01
1.653235653235653191e-01 4.980392156860000141e-01 7.924333333333333940e+01
1.687423687423687535e-01 5.019607843140000414e-01 8.084000000000000341e+01
1.721611721611721602e-01 5.058823529410000353e-01 8.251000000000000512e+01
1.755799755799755668e-01 5.098039215690000070e-01 8.404000000000000625e+01
1.789987789987790012e-01 5.137254901960000009e-01 8.574000000000000909e+01
1.824175824175824079e-01 5.176470588239999726e-01 8.754333333333333655e+01
1.863247863247863290e-01 5.215686274509999665e-01 8.928666666666667595e+01
1.899877899877899790e-01 5.254901960779999603e-01 9.110666666666666913e+01
1.938949938949939000e-01 5.294117647060000431e-01 9.265333333333332178e+01
1.973137973137973067e-01 5.333333333330000370e-01 9.460666666666666913e+01
2.014652014652014711e-01 5.372549019610000087e-01 9.634666666666664980e+01
2.051282051282051211e-01 5.411764705880000026e-01 9.817000000000000171e+01
2.090354090354090422e-01 5.450980392159999743e-01 1.000999999999999801e+02
2.129426129426129355e-01 5.490196078429999682e-01 1.019333333333333371e+02
2.168498168498168566e-01 5.529411764710000510e-01 1.039000000000000199e+02
2.212454212454212366e-01 5.568627450980000448e-01 1.057999999999999972e+02
2.251526251526251576e-01 5.607843137250000387e-01 1.076333333333333258e+02
2.290598290598290510e-01 5.647058823530000105e-01 1.095333333333333456e+02
2.332112332112332154e-01 5.686274509800000043e-01 1.116666666666666714e+02
2.376068376068375954e-01 5.725490196079999761e-01 1.135666666666666629e+02
2.417582417582417598e-01 5.764705882349999699e-01 1.156333333333333258e+02
2.461538461538461675e-01 5.803921568630000527e-01 1.175999999999999801e+02
2.503052503052503042e-01 5.843137254900000466e-01 1.198333333333333286e+02
2.549450549450549275e-01 5.882352941180000183e-01 1.218666666666666742e+02
2.593406593406593630e-01 5.921568627450000122e-01 1.236666666666666714e+02
2.632478632478632563e-01 5.960784313729999839e-01 1.257666666666666657e+02
2.676434676434676363e-01 5.999999999999999778e-01 1.281999999999999886e+02
2.727716727716727463e-01 6.039215686269999717e-01 1.303000000000000114e+02
2.774114774114774251e-01 6.078431372550000544e-01 1.323333333333333428e+02
2.815628815628815618e-01 6.117647058820000483e-01 1.347333333333333201e+02
2.866910866910866718e-01 6.156862745100000200e-01 1.369666666666666686e+02
2.915750915750915939e-01 6.196078431370000139e-01 1.391666666666666572e+02
2.962148962148962172e-01 6.235294117649999857e-01 1.415000000000000000e+02
3.010989010989010839e-01 6.274509803919999795e-01 1.435999999999999943e+02
3.054945054945055194e-01 6.313725490199999513e-01 1.460999999999999943e+02
3.108669108669108727e-01 6.352941176469999451e-01 1.481999999999999886e+02
3.152625152625152527e-01 6.392156862750000279e-01 1.508666666666666742e+02
3.211233211233211482e-01 6.431372549020000218e-01 1.530999999999999943e+02
3.257631257631257715e-01 6.470588235290000156e-01 1.554000000000000057e+02
3.306471306471306382e-01 6.509803921569999874e-01 1.579666666666666686e+02
3.362637362637362903e-01 6.549019607839999813e-01 1.605000000000000000e+02
3.416361416361416437e-01 6.588235294119999530e-01 1.629666666666666686e+02
3.467643467643467536e-01 6.627450980389999469e-01 1.655999999999999943e+02
3.523809523809524058e-01 6.666666666670000296e-01 1.679333333333333087e+02
3.572649572649572725e-01 6.705882352940000235e-01 1.704666666666666686e+02
3.626373626373626258e-01 6.745098039219999952e-01 1.730000000000000000e+02
3.680097680097680346e-01 6.784313725489999891e-01 1.753000000000000114e+02
3.728937728937729013e-01 6.823529411759999830e-01 1.782666666666666515e+02
3.792429792429792279e-01 6.862745098039999547e-01 1.810666666666666913e+02
3.853479853479853667e-01 6.901960784309999486e-01 1.834000000000000057e+02
3.902319902319902334e-01 6.941176470590000314e-01 1.863500000000000227e+02
3.965811965811965600e-01 6.980392156860000252e-01 1.890666666666666913e+02
4.021978021978022122e-01 7.019607843139999970e-01 1.914333333333333087e+02
4.073260073260073222e-01 7.058823529409999908e-01 1.944000000000000057e+02
