trl	ref_side	a_test	t_test	rep	rep_id	start_idx	matched_alpha_idx	matched_alpha
0	0	0.100000	4.000000	1	6	32	16	0.160000
1	0	0.050000	2.000000	0	5	23	9	0.090000
2	0	0.050000	2.000000	0	8	65	11	0.110000
3	1	0.400000	6.000000	3	9	47	58	0.580000
4	1	0.200000	2.000000	2	7	75	22	0.220000
5	1	0.400000	4.000000	3	0	25	58	0.580000
6	1	0.200000	4.000000	2	8	36	39	0.390000
7	0	0.050000	4.000000	0	2	13	7	0.070000
8	1	0.400000	6.000000	3	2	32	58	0.580000
9	1	0.200000	2.000000	2	8	67	27	0.270000
10	1	0.400000	2.000000	3	7	67	44	0.440000
11	0	0.100000	2.000000	1	5	33	10	0.100000
12	0	0.100000	6.000000	1	6	74	11	0.110000
13	1	0.200000	4.000000	2	5	10	38	0.380000
14	0	0.050000	2.000000	0	9	33	14	0.140000
15	0	0.050000	4.000000	0	4	20	6	0.060000
16	0	0.100000	4.000000	1	0	76	13	0.130000
17	1	0.400000	6.000000	3	1	23	54	0.540000
18	1	0.400000	4.000000	3	5	34	39	0.390000
19	0	0.100000	4.000000	1	1	48	21	0.210000
20	1	0.400000	2.000000	3	0	11	52	0.520000
21	1	0.200000	4.000000	2	6	0	54	0.540000
22	1	0.200000	2.000000	2	3	61	29	0.290000
23	1	0.400000	6.000000	3	3	42	78	0.780000
24	0	0.100000	2.000000	1	0	13	18	0.180000
25	0	0.100000	4.000000	1	7	31	15	0.150000
26	1	0.200000	6.000000	2	5	16	39	0.390000
27	0	0.050000	6.000000	0	6	13	7	0.070000
28	0	0.100000	2.000000	1	9	16	10	0.100000
29	1	0.200000	6.000000	2	3	37	38	0.380000
30	1	0.200000	6.000000	2	0	4	43	0.430000
31	0	0.100000	2.000000	1	6	14	15	0.150000
32	1	0.200000	2.000000	2	2	23	30	0.300000
33	1	0.200000	2.000000	2	6	80	25	0.250000
34	0	0.050000	6.000000	0	3	33	8	0.080000
35	1	0.400000	2.000000	3	2	72	41	0.410000
36	0	0.100000	2.000000	1	4	69	12	0.120000
37	0	0.050000	6.000000	0	4	19	7	0.070000
38	1	0.200000	2.000000	2	5	28	27	0.270000
39	0	0.050000	6.000000	0	7	1	9	0.090000
40	1	0.400000	4.000000	3	2	80	51	0.510000
41	0	0.100000	6.000000	1	4	43	12	0.120000
42	0	0.050000	4.000000	0	0	7	4	0.040000
43	0	0.050000	4.000000	0	9	2	9	0.090000
44	1	0.200000	2.000000	2	9	37	22	0.220000
45	1	0.200000	6.000000	2	4	57	59	0.590000
46	1	0.200000	6.000000	2	6	0	47	0.470000
47	0	0.050000	4.000000	0	7	74	7	0.070000
48	0	0.100000	2.000000	1	2	24	10	0.100000
49	1	0.400000	6.000000	3	5	42	51	0.510000
50	1	0.200000	4.000000	2	2	27	37	0.370000
51	1	0.400000	2.000000	3	6	48	49	0.490000
52	0	0.100000	2.000000	1	8	55	11	0.110000
53	0	0.050000	6.000000	0	2	29	8	0.080000
54	1	0.200000	4.000000	2	4	8	29	0.290000
55	0	0.100000	2.000000	1	7	2	9	0.090000
56	1	0.400000	6.000000	3	0	55	80	0.800000
57	1	0.200000	2.000000	2	0	2	22	0.220000
58	1	0.400000	4.000000	3	9	33	42	0.420000
59	0	0.100000	6.000000	1	7	35	11	0.110000
60	0	0.100000	6.000000	1	2	54	12	0.120000
61	1	0.200000	6.000000	2	7	38	33	0.330000
62	0	0.050000	4.000000	0	5	4	5	0.050000
63	1	0.200000	6.000000	2	8	49	43	0.430000
64	0	0.100000	4.000000	1	8	35	18	0.180000
65	0	0.050000	2.000000	0	3	63	12	0.120000
66	0	0.100000	4.000000	1	2	28	14	0.140000
67	1	0.400000	2.000000	3	9	5	43	0.430000
68	1	0.400000	4.000000	3	4	59	59	0.590000
69	0	0.100000	4.000000	1	4	12	22	0.220000
70	0	0.050000	4.000000	0	1	68	8	0.080000
71	1	0.200000	4.000000	2	3	48	33	0.330000
72	0	0.050000	6.000000	0	9	16	7	0.070000
73	0	0.100000	2.000000	1	3	53	14	0.140000
74	1	0.400000	4.000000	3	1	29	49	0.490000
75	0	0.050000	4.000000	0	6	6	7	0.070000
76	0	0.050000	2.000000	0	0	58	9	0.090000
77	1	0.400000	6.000000	3	6	20	76	0.760000
78	1	0.400000	2.000000	3	4	78	34	0.340000
79	0	0.050000	2.000000	0	2	9	10	0.100000
80	0	0.100000	6.000000	1	9	73	13	0.130000
81	0	0.050000	4.000000	0	3	5	9	0.090000
82	0	0.050000	6.000000	0	5	3	7	0.070000
83	1	0.400000	6.000000	3	8	64	69	0.690000
84	0	0.050000	6.000000	0	0	7	6	0.060000
85	0	0.100000	4.000000	1	3	77	13	0.130000
86	0	0.100000	6.000000	1	8	46	13	0.130000
87	0	0.050000	2.000000	0	6	22	14	0.140000
88	0	0.050000	6.000000	0	8	59	8	0.080000
89	1	0.400000	2.000000	3	1	35	43	0.430000
90	1	0.200000	4.000000	2	7	16	40	0.400000
91	0	0.050000	6.000000	0	1	64	10	0.100000
92	0	0.050000	2.000000	0	4	0	11	0.110000
93	0	0.100000	6.000000	1	1	47	12	0.120000
94	1	0.200000	6.000000	2	2	39	46	0.460000
